cd8_base_kill,cd8_exhaustion_rate,pd_l1_penalty,macrophage_suppr_base,suppressive_background,tumor_proliferation_rate,snapshot_tick,seed,sample_idx,group,interventions,distance,sim_frac_t_cytotox,sim_frac_t_helper,sim_frac_t_reg,sim_frac_macrophage,sim_ratio_cd8_cd4,sim_ratio_cd8_treg,sim_ratio_cd4_treg,sim_ratio_cd8_mac,sim_frac_tumor,sim_infilt_t_cytotox_inside,sim_infilt_t_cytotox_cuff,sim_infilt_t_cytotox_periphery,sim_infilt_t_helper_inside,sim_infilt_t_helper_cuff,sim_infilt_t_helper_periphery,sim_infilt_t_reg_inside,sim_infilt_t_reg_cuff,sim_infilt_t_reg_periphery,sim_cd8_mean_dist_to_tumor,sim_cd8_median_dist_to_tumor,sim_cd8_frac_within_5,sim_final_tumor_count,sim_final_cd8_count,mean_distance
0.24240106233406927,0.021420199002293264,0.3986794787760779,0.4127467997725305,0.11039256908404305,0.012264396043365475,169,410003,41,3,CTLA4,79.44025035395377,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.1839581517000872,0.015714285714285715,0.2671428571428571,0.7171428571428572,0.01,0.152,0.838,0.0,0.0,1.0,14.571266640770737,10.524937810560445,0.40285714285714286,422,700,41.30911533208042
0.24240106233406927,0.021420199002293264,0.3986794787760779,0.4127467997725305,0.11039256908404305,0.012264396043365475,169,410001,41,1,none,22.64643043870447,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.15865168539325844,0.008571428571428572,0.18857142857142858,0.8028571428571428,0.002,0.136,0.862,0.0,0.0,1.0,15.28038954048342,7.0710678118654755,0.3628571428571429,353,700,41.30911533208042
0.24240106233406927,0.021420199002293264,0.3986794787760779,0.4127467997725305,0.11039256908404305,0.012264396043365475,169,410004,41,4,"PD1,CTLA4",52.691859661722326,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.003194888178913738,0.0014285714285714286,0.005714285714285714,0.9928571428571429,0.002,0.0,0.998,0.0,0.0,1.0,24.133174736310238,23.93727259134088,0.10714285714285714,6,700,41.30911533208042
0.24240106233406927,0.021420199002293264,0.3986794787760779,0.4127467997725305,0.11039256908404305,0.012264396043365475,169,410002,41,2,PD1,10.457920873941102,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.008999470619375331,0.024285714285714285,0.037142857142857144,0.9385714285714286,0.006,0.018,0.976,0.0,0.0,1.0,21.20751865608124,18.027756377319946,0.16857142857142857,17,700,41.30911533208042
0.29358355669561725,0.022348734384325608,0.46566173186935855,0.313358435996104,0.05585586576323147,0.021790874223106667,82,4,0,4,"PD1,CTLA4",51.04362479665202,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.04878048780487805,0.012857142857142857,0.07571428571428572,0.9114285714285715,0.002,0.052,0.946,0.0,0.0,1.0,19.78017022108691,19.170178618107073,0.2814285714285714,96,700,43.74167291183604
0.29358355669561725,0.022348734384325608,0.46566173186935855,0.313358435996104,0.05585586576323147,0.021790874223106667,82,2,0,2,PD1,14.578880678631062,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.05976896032144651,0.007142857142857143,0.08857142857142856,0.9042857142857142,0.006,0.038,0.956,0.0,0.0,1.0,19.881185669517837,20.0,0.2742857142857143,119,700,43.74167291183604
0.29358355669561725,0.022348734384325608,0.46566173186935855,0.313358435996104,0.05585586576323147,0.021790874223106667,82,3,0,3,CTLA4,76.88868732991155,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.1878524945770065,0.02142857142857143,0.24142857142857144,0.7371428571428571,0.004,0.168,0.828,0.0,0.0,1.0,15.107248451242299,11.40175425099138,0.37857142857142856,433,700,43.74167291183604
0.29358355669561725,0.022348734384325608,0.46566173186935855,0.313358435996104,0.05585586576323147,0.021790874223106667,82,1,0,1,none,32.45549884214953,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.19483870967741934,0.011428571428571429,0.25857142857142856,0.73,0.002,0.146,0.852,0.0,0.0,1.0,14.933745835563395,11.180339887498949,0.3871428571428571,453,700,43.74167291183604
0.28345184166518034,0.025593864471340086,0.3417786233579895,0.23672572661118305,0.09318063964637531,0.04438968420648345,120,470002,47,2,PD1,15.264289699237725,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.060240963855421686,0.008571428571428572,0.09,0.9014285714285715,0.0,0.05,0.95,0.0,0.0,1.0,19.04719841384501,15.033296378372908,0.2785714285714286,120,700,51.19396853480181
0.28345184166518034,0.025593864471340086,0.3417786233579895,0.23672572661118305,0.09318063964637531,0.04438968420648345,120,470003,47,3,CTLA4,84.91249901018779,0.445859872611465,0.3184713375796178,0.07643312101910828,0.1592356687898089,1.4,5.833333333333333,4.166666666666667,2.8,0.22355868934052261,0.014285714285714285,0.27714285714285714,0.7085714285714285,0.004,0.21,0.786,0.0,0.0,1.0,14.213493554761893,6.708203932499369,0.40714285714285714,539,700,51.19396853480181
