mouse_num,mouse_group,n_cells,frac_immune,frac_t_cytotox,frac_t_helper,frac_t_reg,frac_macrophage,ratio_cd8_cd4,ratio_cd8_treg,ratio_cd4_treg,ratio_cd8_mac,frac_all_t_cytotox,frac_all_t_helper,frac_all_t_reg,frac_all_b,frac_all_tam,frac_all_alveolar_mac,frac_all_dc,frac_all_neutrophil,frac_all_nk_l,frac_all_nk_m,infilt_t_cytotox_inside,infilt_t_cytotox_cuff,infilt_t_cytotox_periphery,infilt_t_reg_inside,infilt_t_reg_cuff,infilt_t_reg_periphery,infilt_t_helper_inside,infilt_t_helper_cuff,infilt_t_helper_periphery,infilt_b_inside,infilt_b_cuff,infilt_b_periphery,cd8_dist_bin_-100,cd8_dist_bin_-90,cd8_dist_bin_-80,cd8_dist_bin_-70,cd8_dist_bin_-60,cd8_dist_bin_-50,cd8_dist_bin_-40,cd8_dist_bin_-30,cd8_dist_bin_-20,cd8_dist_bin_-10,cd8_dist_bin_0,cd8_dist_bin_10,cd8_dist_bin_20,cd8_dist_bin_30,cd8_dist_bin_40,cd8_dist_bin_50,cd8_dist_bin_60,cd8_dist_bin_70,cd8_dist_bin_80,cd8_dist_bin_90,cd8_dist_bin_100,cd8_dist_bin_110,cd8_dist_bin_120,cd8_dist_bin_130,cd8_dist_bin_140,cd8_dist_bin_150,cd8_dist_bin_160,cd8_dist_bin_170,cd8_dist_bin_180,cd8_dist_bin_190,frac_lymph_in_network,mean_network_size,n_networks
1059,1,333360,0.24522438204943606,0.24013820904117478,0.5837892312122085,0.09048373164411172,0.08558882810250504,0.41134401972872997,2.6539379474940334,6.45186953062848,2.805719091673675,0.04080833781866223,0.09920732005675979,0.015376522973039096,0.5211625972500856,0.014544698341243823,0.18653667368009003,0.08134755590350834,0.02358467485443069,0.014018691588785047,0.0034129275333953124,0.008393285371702638,0.007194244604316547,0.9844124700239808,0.03261734287987271,0.007955449482895784,0.9594272076372315,0.012700369913686806,0.007274969173859433,0.9800246609124538,0.001525678340061966,0.0017603980846868838,0.9967139235752511,0.0,0.0,0.0,0.0015037593984962407,0.0015037593984962407,0.0007518796992481203,0.0022556390977443606,0.006766917293233083,0.004511278195488721,0.0037593984962406013,0.005263157894736842,0.005263157894736842,0.0007518796992481203,0.004511278195488721,0.0022556390977443606,0.0015037593984962407,0.0022556390977443606,0.0015037593984962407,0.004511278195488721,0.0015037593984962407,0.0037593984962406013,0.0022556390977443606,0.004511278195488721,0.0037593984962406013,0.009774436090225564,0.0037593984962406013,0.005263157894736842,0.005263157894736842,0.0037593984962406013,0.007518796992481203,0.009022366065778291,9.843137254901961,51
1060,1,301899,0.2284075137711619,0.21428098736020118,0.6567401230891403,0.07160346767255642,0.057375421878102045,0.32627972591696897,2.9926062846580406,9.171903881700555,3.734717416378316,0.04695748013225825,0.14391786066477175,0.015691165380822554,0.4473577353674807,0.01257323510644469,0.19970705957422125,0.10038285283369106,0.02298567202273914,0.008556180752943907,0.0018707581646267184,0.0030883261272390363,0.0033971587399629403,0.993514515132798,0.013863216266173753,0.0073937153419593345,0.9787430683918669,0.005542120112857719,0.006045949214026602,0.9884119306731157,0.00058350622406639,0.0012642634854771785,0.9981522302904564,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0037313432835820895,0.0007462686567164179,0.0007462686567164179,0.002238805970149254,0.0029850746268656717,0.002238805970149254,0.0,0.004477611940298508,0.0037313432835820895,0.0014925373134328358,0.0037313432835820895,0.005223880597014925,0.006716417910447761,0.005223880597014925,0.008208955223880599,0.0037313432835820895,0.007462686567164179,0.004477611940298508,0.006716417910447761,0.008955223880597015,0.004477611940298508,0.009701492537313432,0.047081522221236585,18.188034188034187,117
1061,1,343142,0.15798707240734156,0.3274424298064417,0.5158748374263638,0.060821666284140465,0.09586106648305409,0.6347323149933264,5.383647798742138,8.481761006289307,3.4158020750199523,0.07894931011584151,0.12438205563343908,0.014664649893012617,0.2803069431122261,0.023112963919427434,0.2844204235224673,0.14544750239799306,0.02813030325389213,0.018446100494355494,0.0021397476573452373,0.004205607476635514,0.0030373831775700934,0.9927570093457944,0.031446540880503145,0.005031446540880503,0.9635220125786164,0.010232834050126057,0.0044490582826635025,0.9853181076672104,0.0025006580679126085,0.001645169781521453,0.9958541721505659,0.0,0.0,0.0,0.0,0.0,0.0,0.002061855670103093,0.003092783505154639,0.007216494845360824,0.006185567010309278,0.002061855670103093,0.0,0.004123711340206186,0.004123711340206186,0.003092783505154639,0.002061855670103093,0.003092783505154639,0.002061855670103093,0.003092783505154639,0.009278350515463918,0.0010309278350515464,0.010309278350515464,0.006185567010309278,0.004123711340206186,0.005154639175257732,0.002061855670103093,0.0010309278350515464,0.007216494845360824,0.006185567010309278,0.005154639175257732,0.027504257051899017,11.523076923076923,65
1062,1,252696,0.1763146231044417,0.3028781147382654,0.560556306741356,0.09175197991114545,0.044813598609233146,0.5403170227429359,3.3010526315789472,6.109473684210526,6.758620689655173,0.07038649728419447,0.1302688871930691,0.021322440184944114,0.3229788571172061,0.010414328679804283,0.27113166045697357,0.12557795035238137,0.026686717241998472,0.020020649099968577,0.0012120123894599811,0.05133928571428571,0.024872448979591837,0.9237882653061225,0.10736842105263159,0.05368421052631579,0.8389473684210527,0.044968986905582355,0.03239145416953825,0.9226395589248794,0.008061153578874217,0.008408617095205004,0.9835302293259208,0.0,0.0,0.0014962593516209476,0.003990024937655861,0.002743142144638404,0.003740648379052369,0.007980049875311722,0.0072319201995012464,0.0072319201995012464,0.005735660847880299,0.004239401496259352,0.004239401496259352,0.0034912718204488775,0.003241895261845387,0.004239401496259352,0.0024937655860349127,0.003740648379052369,0.0024937655860349127,0.0024937655860349127,0.0012468827930174563,0.0012468827930174563,0.0022443890274314216,0.002743142144638404,0.0029925187032418953,0.002743142144638404,0.003241895261845387,0.002743142144638404,0.003241895261845387,0.0029925187032418953,0.003740648379052369,0.05420098846787479,15.022727272727273,88
1063,1,440414,0.3107258170721185,0.21013364664414746,0.6773094433837568,0.09061536202085475,0.021941547951241005,0.3102476256559261,2.318962722852512,7.474554294975689,9.576974564926372,0.05227697883783468,0.16850081842628317,0.02254325967496785,0.41696626914532914,0.00545861101367941,0.22386151058108267,0.09176604700105226,0.01055185315094119,0.005853209400210452,0.002221442768619198,0.15781381045568912,0.03899916130835896,0.8031870282359519,0.253160453808752,0.055105348460291734,0.6917341977309562,0.12099397198490829,0.033566069647426165,0.8454399583676655,0.024762972958763427,0.011601619319675434,0.9636354077215611,0.0010214504596527069,0.0008682328907048007,0.0021961184882533197,0.003830439223697651,0.004954034729315628,0.007814096016343208,0.008784473953013279,0.010163432073544433,0.01118488253319714,0.005107252298263534,0.0032175689479060263,0.0026046986721144022,0.0029111338100102145,0.002502553626149132,0.0030132788559754852,0.003319713993871297,0.0021450459652706845,0.002093973442288049,0.0021450459652706845,0.002093973442288049,0.0018386108273748725,0.0022982635342185904,0.0013789581205311543,0.001787538304392237,0.0016853932584269661,0.0014811031664964248,0.0021961184882533197,0.0015832482124616956,0.002093973442288049,0.0016853932584269661,0.09773237862304807,19.422319474835888,457
1064,1,392763,0.2896912387368464,0.3113928447377562,0.5798541160125044,0.0806182702327197,0.0281347690170198,0.537019288367078,3.862559241706161,7.192589401120207,11.067901234567902,0.07879240639831253,0.14672174371594304,0.0203990156442257,0.43487431886095973,0.007119001582000351,0.1944893654420812,0.10283881174195816,0.010608191246264722,0.0026894005976445773,0.0014677447706099491,0.1305075292805354,0.03000557724484105,0.8394868934746236,0.1994829814735028,0.03920723825937096,0.7613097802671263,0.0691266323229903,0.01982748292799808,0.9110458847490116,0.010064672594987873,0.005759902991107518,0.9841754244139046,0.0002506265664160401,0.0020050125313283208,0.002656641604010025,0.004360902255639097,0.005413533834586467,0.00781954887218045,0.010275689223057645,0.009924812030075189,0.009774436090225564,0.006165413533834587,0.0032080200501253134,0.002656641604010025,0.0022055137844611532,0.002907268170426065,0.002506265664160401,0.002355889724310777,0.002355889724310777,0.002756892230576441,0.002957393483709273,0.0016541353383458645,0.0022055137844611532,0.0014536340852130325,0.0014035087719298245,0.0016040100250626567,0.0016541353383458645,0.0016541353383458645,0.0018546365914786968,0.0015538847117794487,0.0010025062656641604,0.0014035087719298245,0.05500903692228247,13.925324675324676,308
1065,2,476390,0.20800814458741787,0.12872782181955456,0.46986284132377,0.26399899333081667,0.13741034352585882,0.2739689341189073,0.48760724499523356,1.7797902764537654,0.9368131868131868,0.030970906118494748,0.11304532106203263,0.06351609094486997,0.28596369067441696,0.03305985286548999,0.30204958977929824,0.12794041960582483,0.03294884603352406,0.006781508280100512,0.003723774635948049,0.08765070055392636,0.025089605734767026,0.8872596937113066,0.04258023514458214,0.017794725135049254,0.9396250397203686,0.06498839492947688,0.0144617032672737,0.9205499018032495,0.009281151850936937,0.006563856442107492,0.9841549917069555,0.0009140767824497258,0.0029250457038391227,0.002376599634369287,0.0034734917733089577,0.005850091407678245,0.00603290676416819,0.006215722120658135,0.008409506398537476,0.007129798903107861,0.005301645338208409,0.0016453382084095065,0.003290676416819013,0.0031078610603290677,0.002376599634369287,0.003656307129798903,0.0038391224862888485,0.0021937842778793418,0.0020109689213893968,0.0007312614259597807,0.0021937842778793418,0.002559414990859232,0.0020109689213893968,0.0021937842778793418,0.002742230347349177,0.002376599634369287,0.0029250457038391227,0.003290676416819013,0.003656307129798903,0.002559414990859232,0.0020109689213893968,0.07566152713590446,13.947368421052632,266
1066,2,535759,0.2677733831816171,0.22823419000866302,0.6622870343632689,0.08922899220329195,0.020249783424776204,0.3446152169173752,2.5578478964401294,7.422330097087379,11.270944741532977,0.04407438903681811,0.1278944947094004,0.017231043760717123,0.5911739694135032,0.003910443183560803,0.13923547699042255,0.04865399896836793,0.02189429953576557,0.005151189862123768,0.0007806945393205169,0.040803416099952555,0.019294638620907797,0.9399019452791396,0.08737864077669903,0.025485436893203883,0.8871359223300971,0.024689339437540876,0.008175277959450621,0.9671353826030085,0.004020704861397696,0.0021341571258445247,0.9938451380127578,0.0,0.00044117647058823526,0.00044117647058823526,0.001911764705882353,0.0011764705882352942,0.003823529411764706,0.006029411764705882,0.009705882352941175,0.008088235294117648,0.006323529411764705,0.003529411764705882,0.0029411764705882353,0.003970588235294118,0.003823529411764706,0.003676470588235294,0.0029411764705882353,0.0030882352941176473,0.0023529411764705885,0.0026470588235294116,0.0022058823529411764,0.0026470588235294116,0.0025,0.0029411764705882353,0.0023529411764705885,0.0023529411764705885,0.0029411764705882353,0.004117647058823529,0.004852941176470588,0.003970588235294118,0.0022058823529411764,0.00815513514479161,10.882352941176471,85
1067,2,483369,0.25815888068949394,0.27735825309923856,0.6060348625007866,0.05644704549745139,0.06015983890252344,0.45766055760344737,4.913600891861761,10.736343366778149,4.610355648535565,0.07064093728463129,0.15435225105380412,0.014376612761046912,0.38336832657509656,0.015322231660602953,0.1785136153094097,0.10692705912522238,0.058700495247864345,0.01678072860737583,0.0010177423749459073,0.11945547362450369,0.02257515598411798,0.8579693703913783,0.12263099219620958,0.021181716833890748,0.8561872909698997,0.06697471574684596,0.016925393281761073,0.916099890971393,0.017266247204163965,0.004661468676184703,0.9780722841196513,0.0014790996784565915,0.00180064308681672,0.004437299035369775,0.0057234726688102896,0.00797427652733119,0.00797427652733119,0.01112540192926045,0.009967845659163987,0.011061093247588425,0.005273311897106109,0.0030868167202572345,0.002572347266881029,0.0022508038585209,0.002508038585209003,0.002379421221864952,0.0015434083601286173,0.0010932475884244373,0.001414790996784566,0.0017363344051446947,0.0012218649517684887,0.00090032154340836,0.001607717041800643,0.0012861736334405145,0.0006430868167202572,0.0010932475884244373,0.0014790996784565915,0.001414790996784566,0.0012861736334405145,0.0017363344051446947,0.0019292604501607716,0.05196309307802185,16.703703703703702,243
1068,2,219844,0.11849311329852077,0.2905745300503045,0.5472597299444003,0.0804871591209955,0.0816785808842997,0.53096274794388,3.6101973684210527,6.7993421052631575,3.5575364667747165,0.08426103646833014,0.15869481765834934,0.023339731285988485,0.18798464491362765,0.0236852207293666,0.3020729366602687,0.15259117082533588,0.03401151631477927,0.031708253358925145,0.0016506717850287907,0.00592255125284738,0.007289293849658315,0.9867881548974943,0.009868421052631578,0.003289473684210526,0.9868421052631579,0.006531204644412192,0.00362844702467344,0.9898403483309144,0.004084133142740453,0.005105166428425566,0.990810700428834,0.0,0.0,0.0,0.0018181818181818182,0.0036363636363636364,0.005454545454545454,0.0018181818181818182,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.007272727272727273,0.005454545454545454,0.014545454545454545,0.0018181818181818182,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0018181818181818182,0.007272727272727273,0.0036363636363636364,0.005454545454545454,0.0036363636363636364,0.0018181818181818182,0.0036363636363636364,0.007272727272727273,0.0,0.0036363636363636364,0.005454545454545454,0.023660638837248605,8.028571428571428,35
